id,latitude,longitude,heading,speed_over_ground,last_ais_updated_at,created_at,updated_at,nav_status_code,vessel_id,course,collection_type,source,need_to_scan,velocity
3932345196,"39,10737833","119,18264",511,"0,2",2021-03-23 8:01:47,2021-03-23 8:02:47,2021-03-23 8:02:47,15,15502,0,0,spire,,
3932366025,"39,10738167","119,18264",511,"0,2",2021-03-23 8:06:07,2021-03-23 8:07:36,2021-03-23 8:07:36,15,15502,0,0,spire,,
3932464938,"39,10738167","119,1826467",511,"0,1",2021-03-23 8:17:27,2021-03-23 8:19:06,2021-03-23 8:19:06,15,15502,0,0,spire,,
3932600217,"39,107405","119,1826317",511,"0,2",2021-03-23 8:58:47,2021-03-23 8:59:17,2021-03-23 8:59:17,15,15502,0,0,spire,,
3932684386,"39,10736833","119,1826533",511,"0,1",2021-03-23 9:14:27,2021-03-23 9:15:28,2021-03-23 9:15:28,15,15502,0,0,spire,,
3932691164,"39,10740167","119,1826233",511,"0,8",2021-03-23 9:15:07,2021-03-23 9:17:26,2021-03-23 9:17:26,15,15502,"342,8",0,spire,,
3932700645,"39,10742333","119,1826083",511,"0,3",2021-03-23 9:20:27,2021-03-23 9:21:00,2021-03-23 9:21:00,15,15502,"1,9",0,spire,,
3932730040,"39,10739833","119,1826317",511,"0,2",2021-03-23 9:29:07,2021-03-23 9:29:45,2021-03-23 9:29:45,15,15502,"21,8",0,spire,,
3932770596,"39,10739167","119,1826367",511,"0,4",2021-03-23 9:39:48,2021-03-23 9:41:18,2021-03-23 9:41:18,15,15502,"95,2",0,spire,,
3932784026,"39,10738667","119,1826367",511,"0,1",2021-03-23 9:41:06,2021-03-23 9:44:08,2021-03-23 9:44:08,15,15502,0,0,spire,,
3932795370,"39,10739167","119,1826317",511,"0,1",2021-03-23 9:45:08,2021-03-23 9:46:30,2021-03-23 9:46:30,15,15502,0,0,spire,,
3932801642,"39,10739","119,1826267",511,"0,2",2021-03-23 9:50:08,2021-03-23 9:51:12,2021-03-23 9:51:12,15,15502,0,0,spire,,
3932830565,"39,10738667","119,182625",511,"0,1",2021-03-23 9:58:08,2021-03-23 9:58:49,2021-03-23 9:58:49,15,15502,0,0,spire,,
3932852709,"39,10738167","119,1826267",511,0,2021-03-23 10:01:27,2021-03-23 10:05:57,2021-03-23 10:05:57,15,15502,0,0,spire,,
3932860069,"39,10738333","119,1826317",511,"0,1",2021-03-23 10:06:47,2021-03-23 10:09:59,2021-03-23 10:09:59,15,15502,0,0,spire,,
3932889176,"39,10736333","119,1826233",511,"0,1",2021-03-23 10:13:27,2021-03-23 10:18:34,2021-03-23 10:18:34,15,15502,0,0,spire,,
